Class 0:

Position	Weight	Rule
0	-0.0023762977216392756	0_Asian | 0_Other | 0_Caucasian & ~1_Male | 0_Caucasian & ~2_10-20 | 0_Hispanic & ~1_Male & ~2_10-20 | 1_UnknownInvalid & ~0_AfricanAmerican & ~2_10-20
1	-0.038253653794527054	1_Male | 2_20-30 | 1_UnknownInvalid & ~0_Other | 2_10-20 & ~0_Other | 2_40-50 & ~0_Other | 1_UnknownInvalid & ~2_30-40 & ~2_50-60
2	-0.01090291142463684	2_30-40 | 2_40-50 | 2_50-60 | 2_60-70 | 2_80-90
3	-0.0615706741809845	2_70-80 | 2_80-90 | 3_NoInfo | 3_[100-125) & ~2_60-70 | 2_90-100 & ~3_[0-25) & ~3_[125-150)
4	-0.00778906000778079	3_[0-25) | 3_[100-125) | 3_[125-150) | 3_[150-175) | 3_[25-50)
5	-0.0664835125207901	3_[175-200) | 3_[25-50) | 3_[75-100) | 4_3 & ~3_[150-175) | 3_[50-75) & ~4_2 & ~4_4
6	-0.11479420959949493	4_2 | 4_3 | 4_5 | 4_4 & ~3_[75-100) | 4_7 & ~3_[75-100)
7	-0.037821702659130096	4_6 | 4_7 | 5_2 | 5_4 & ~4_5 | 4_8 & ~5_3 & ~5_5
8	-0.10411009937524796	5_3 | 5_4 | 5_5 | 5_6 | 5_8
9	0.23281395435333252	5_7 | 5_8 | 5_9 | 5_10 | 5_12
10	-0.20571306347846985	5_11 | 5_12 | 5_13 | 5_14 | 5_16
11	0.08458324521780014	5_15 | 5_16 | 5_17 | 5_18 | 5_20
12	0.044795285910367966	5_19 | 5_20 | 5_22 | 5_23 | 5_25
13	0.31610241532325745	5_24 | 5_25 | 5_28 | 6_3 & ~5_23 | 5_27 & ~6_2 & ~6_4
14	-0.015464400872588158	6_2 | 6_3 | 6_5 | 6_4 & ~5_28 | 6_7 & ~5_28
15	0.023146852850914	6_6 | 6_7 | 6_8 | 6_9 | 6_11
16	0.018685130402445793	6_10 | 6_11 | 6_13 | 6_14 | 6_20
17	0.039248254150152206	6_17 | 6_20 | 6_25 | 8_Anesthesiology & ~6_14 | 6_22 & ~8_AllergyandImmunology & ~8_Anesthesiology-Pediatric
18	-0.016301516443490982	8_AllergyandImmunology | 8_Anesthesiology | 8_Cardiology | 8_Anesthesiology-Pediatric & ~6_25 | 8_DCPTEAM & ~6_25
19	-0.10827451199293137	8_Cardiology-Pediatric | 8_DCPTEAM | 8_Dentistry | 8_Dermatology | 8_Endocrinology
20	-0.09017599374055862	8_EmergencyTrauma | 8_Endocrinology | 8_Endocrinology-Metabolism | 8_FamilyGeneralPractice | 8_Gynecology
21	0.0487658828496933	8_Gastroenterology | 8_Gynecology | 8_Hematology | 8_HematologyOncology | 8_InfectiousDiseases
22	0.07511289417743683	8_Hospitalist | 8_InfectiousDiseases | 8_InternalMedicine | 8_Nephrology | 8_Neurophysiology
23	0.09854695200920105	8_Neurology | 8_Neurophysiology | 8_Obsterics&Gynecology-GynecologicOnco | 8_Obstetrics | 8_Oncology
24	0.07128249108791351	8_ObstetricsandGynecology | 8_Oncology | 8_Ophthalmology | 8_Orthopedics | 8_Osteopath
25	-0.12187352776527405	8_Orthopedics-Reconstructive | 8_Osteopath | 8_Otolaryngology | 8_OutreachServices | 8_Pediatrics
26	-0.18261082470417023	8_Pathology | 8_Pediatrics | 8_Pediatrics-AllergyandImmunology | 8_Pediatrics-CriticalCare | 8_Pediatrics-Endocrinology
27	-0.09487493336200714	8_Pediatrics-EmergencyMedicine | 8_Pediatrics-Endocrinology | 8_Pediatrics-Hematology-Oncology | 8_Pediatrics-InfectiousDiseases | 8_Pediatrics-Pulmonology
28	0.04740426316857338	8_Pediatrics-Neurology | 8_Pediatrics-Pulmonology | 8_Perinatology | 8_PhysicalMedicineandRehabilitation | 8_Podiatry
29	-0.020457159727811813	8_PhysicianNotFound | 8_Podiatry | 8_Proctology | 8_Psychiatry | 8_Psychiatry-ChildAdolescent
30	0.028011776506900787	8_Psychiatry-Addictive | 8_Psychiatry-ChildAdolescent | 8_Psychology | 8_Pulmonology | 8_Radiology
31	0.05148708447813988	8_Radiologist | 8_Radiology | 8_Resident | 8_Rheumatology | 8_SportsMedicine
32	-0.02715756744146347	8_Speech | 8_SportsMedicine | 8_Surgeon | 8_Surgery-Cardiovascular | 8_Surgery-Colon&Rectal
33	-0.04452633485198021	8_Surgery-CardiovascularThoracic | 8_Surgery-Colon&Rectal | 8_Surgery-General | 8_Surgery-Maxillofacial | 8_Surgery-Pediatric
34	0.040192488580942154	8_Surgery-Neuro | 8_Surgery-Pediatric | 8_Surgery-Plastic | 8_Surgery-PlasticwithinHeadandNeck | 8_Surgery-Vascular
35	0.05669672042131424	8_Surgery-Thoracic | 8_Surgery-Vascular | 8_Urology | 12_2 & ~8_Surgery-PlasticwithinHeadandNeck | 8_SurgicalSpecialty & ~12_1 & ~12_3
36	-0.05484255030751228	12_1 | 12_2 | 12_4 | 12_3 & ~8_Urology | 12_6 & ~8_Urology
37	-0.10011538863182068	12_5 | 12_6 | 12_7 | 12_8 | 12_10
38	0.01434258371591568	12_9 | 12_10 | 12_11 | 12_12 | 12_14
39	-0.023800790309906006	12_13 | 12_14 | 12_15 | 12_16 | 12_18
40	0.0009067318751476705	12_17 | 12_18 | 12_19 | 12_20 | 12_22
41	0.02397579327225685	12_21 | 12_22 | 12_23 | 12_24 | 12_26
42	-0.01281268522143364	12_25 | 12_26 | 12_27 | 12_28 | 12_33
43	-0.028611768037080765	12_29 | 12_33 | 12_34 | 12_35 | 12_37
44	-0.012467634864151478	12_36 | 12_37 | 12_39 | 12_38 & ~13_1 | 12_42 & ~13_1
45	0.01886104792356491	12_40 | 12_42 | 13_2 | 13_1 & ~12_39 | 13_4 & ~12_39
46	0.13628888130187988	13_3 | 13_4 | 13_5 | 13_6 | 13_8
47	0.06085053086280823	13_7 | 13_8 | 13_9 | 13_10 | 13_12
48	-0.00015732865722384304	13_11 | 13_12 | 13_13 | 13_14 | 13_16
49	0.12125082314014435	13_15 | 13_16 | 13_18 | 13_19 | 13_21
50	0.09061944484710693	13_20 | 13_21 | 13_22 | 13_24 | 13_28
51	-0.017936591058969498	13_25 | 13_28 | 13_29 | 13_37 | 13_46
52	-0.018912339583039284	13_42 | 13_46 | 13_63 | 13_54 & ~14_1 | 13_76 & ~14_1
53	-0.05300094932317734	13_64 | 13_76 | 14_2 | 14_1 & ~13_63 | 14_4 & ~13_63
54	0.17819423973560333	14_3 | 14_4 | 14_5 | 14_6 | 14_8
55	0.2973218858242035	14_7 | 14_8 | 14_9 | 14_10 | 14_12
56	0.26488447189331055	14_11 | 14_12 | 14_13 | 14_14 | 14_16
57	0.1705649346113205	14_15 | 14_16 | 14_18 | 14_17 & ~16_>300 | 14_21 & ~16_>300
58	-0.030587617307901382	14_19 | 16_None | 16_>300 & 17_>8 | 14_21 & ~16_Norm | 14_21 & ~17_None | 16_>300 & ~14_18 & ~17_None | 17_>8 & ~14_18 & ~16_Norm
59	0.029191739857196808	16_Norm | 17_Norm | 17_None & 18_Steady | 17_>8 & ~16_None | 18_Steady & ~16_None | 17_>8 & ~18_No & ~18_Up | 17_None & ~16_None & ~18_No & ~18_Up
60	0.06730546057224274	18_No | 19_No | 18_Up & 19_Up & ~20_No | 18_Steady & ~17_Norm & ~19_Steady | 18_Steady & ~17_Norm & ~20_No | 18_Steady & ~19_Steady & ~20_No | 19_Up & ~17_Norm & ~20_No | 18_Up & ~17_Norm & ~19_Steady & ~20_No
61	0.06712742149829865	19_Steady | 20_Steady | 20_No & 21_No | 19_Up & ~20_Up | 19_Up & ~21_Steady | 20_No & ~19_No & ~21_Steady | 21_No & ~19_No & ~20_Up
